TURN,APEX_X1,APEX_Y1,CORNER_X1,CORNER_Y1,CORNER_X2,CORNER_Y2
1,375.57,191.519,315,145,405,260
2,368.93,90,350,0,402,145
3,727.5,-393.43893,702,-443,750,-295
4,601,-455,565,-535,645,-400
5,599.03037,-643.97,535,-725,640,-580
6,235.931194,-862.33,200,-912,290,-812
7,159.135352,-832.11,105,-882,199,-782
8,-65,-710,-115,-810,-15,-600
9,-271.02352941,232.6247,-325,182,-220,282
10,-390.78254,231.14236,-430,181,-330,281
11,-731.76018,805.659814,-770,730,-705,855
12,-468.9442,851.95,-530,801,-400,901
13,-344.668,683.02,-420,643,-310,740
14,-240,759,-285,685,-178,830
