REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,899,155.77452087402344,428.919189453125,2.7538371086120605
LEFT,18118509207215334066,1195,390.0188293457031,200.6631317138672,2.6944684982299805
LEFT,18118509207215334066,1196,390.1783142089844,200.3082427978516,2.695260524749756
LEFT,18118509207215334066,1198,390.4783935546875,199.5894470214844,2.696532964706421
LEFT,18118509207215334066,1200,390.7954406738281,198.73501586914065,2.698336362838745
LEFT,18118509207215334066,1205,391.41741943359375,196.58937072753903,2.702759027481079
LEFT,18118509207215334066,1227,391.5257873535156,187.0701446533203,2.7291369438171387
LEFT,18118509207215334066,1228,391.4330749511719,186.68161010742188,2.7303266525268555
LEFT,18118509207215334066,1232,390.9549560546875,185.0858459472656,2.7359182834625244
LEFT,18118509207215334066,1234,390.6510009765625,184.27777099609372,2.737623453140259
LEFT,18118509207215334066,1235,390.5108337402344,183.939697265625,2.738525629043579
LEFT,18118509207215334066,1236,390.31640625,183.4967498779297,2.740025281906128
LEFT,18118509207215334066,1237,390.1646423339844,183.16793823242188,2.7410242557525635
LEFT,18118509207215334066,1241,389.62982177734375,182.09228515625,2.743345022201538
LEFT,18118509207215334066,1242,389.4610595703125,181.7730712890625,2.7441394329071045
LEFT,18118509207215334066,1244,389.1126098632813,181.13548278808597,2.745875120162964
LEFT,18118509207215334066,1246,388.8699951171875,180.70458984375,2.7469482421875
LEFT,18118509207215334066,1248,388.6867370605469,180.38442993164065,2.748036623001098
LEFT,18118509207215334066,1186,388.4019775390625,203.61964416503903,2.6828410625457764
LEFT,18118509207215334066,1190,389.26025390625,202.16555786132807,2.689697742462158
LEFT,18118509207215334066,1175,386.1566467285156,206.7954559326172,2.6759629249572754
LEFT,18118509207215334066,1177,386.7042846679688,206.0782470703125,2.676278591156006
LEFT,18118509207215334066,1180,387.4645385742188,205.02828979492188,2.6786880493164062
LEFT,18118509207215334066,1184,387.9059753417969,204.383544921875,2.681513786315918
LEFT,18118509207215334066,1149,379.6632080078125,213.87478637695312,2.6476263999938965
LEFT,18118509207215334066,1230,391.2271423339844,185.9285125732422,2.733311891555786
LEFT,18118509207215334066,1233,390.82855224609375,184.7358245849609,2.736907482147217
LEFT,18118509207215334066,1239,389.7949523925781,182.412841796875,2.742689609527588
LEFT,18118509207215334066,1243,389.2885437011719,181.4542999267578,2.7449426651000977
LEFT,18118509207215334066,1189,389.0703125,202.50503540039065,2.688231945037842
LEFT,18118509207215334066,1191,389.4451599121094,201.82298278808597,2.6909291744232178
LEFT,18118509207215334066,1193,389.6824645996094,201.3628387451172,2.6926729679107666
LEFT,18118509207215334066,1203,391.2220153808594,197.35850524902344,2.70096206665039
LEFT,18118509207215334066,1204,391.32318115234375,196.9752655029297,2.7018284797668457
LEFT,18118509207215334066,1206,391.5052795410156,196.1995849609375,2.7035067081451416
LEFT,18118509207215334066,1207,391.6118469238281,195.6740264892578,2.704785108566284
LEFT,18118509207215334066,1216,391.9974670410156,192.11349487304688,2.7158427238464355
LEFT,18118509207215334066,1219,391.9850463867188,190.5452117919922,2.7197539806365967
LEFT,18118509207215334066,1221,391.9165649414063,189.5415802001953,2.7223451137542725
LEFT,18118509207215334066,1225,391.6886596679688,187.8677978515625,2.726835250854492
LEFT,18118509207215334066,872,123.1979522705078,460.5480041503906,2.965482711791992
LEFT,18118509207215334066,873,124.3796615600586,459.4074401855469,2.956876039505005
LEFT,18118509207215334066,876,128.32589721679688,455.59185791015625,2.943134069442749
LEFT,18118509207215334066,878,131.09007263183594,452.9122314453125,2.9262771606445312
LEFT,18118509207215334066,886,139.00729370117188,445.2153930664063,2.8723936080932617
LEFT,18118509207215334066,890,144.17230224609375,440.1871948242188,2.812603712081909
LEFT,18118509207215334066,892,146.56402587890625,437.861328125,2.798423290252685
LEFT,18118509207215334066,895,150.56092834472656,433.9780883789063,2.780379295349121
LEFT,18118509207215334066,897,153.36575317382812,431.255126953125,2.76365065574646
LEFT,18118509207215334066,1208,391.683837890625,195.2761688232422,2.705843925476074
LEFT,18118509207215334066,1211,391.8737487792969,193.92337036132807,2.709709882736206
LEFT,18118509207215334066,1215,391.9817504882813,192.5357666015625,2.7144405841827397
LEFT,18118509207215334066,1217,392.0060119628906,191.54653930664065,2.71734356880188
LEFT,18118509207215334066,1218,392.0027160644531,191.11851501464844,2.718561172485352
LEFT,18118509207215334066,1220,391.9615783691406,190.1145477294922,2.7207164764404297
LEFT,18118509207215334066,1223,391.8196716308594,188.6932830810547,2.7244772911071777
LEFT,18118509207215334066,1224,391.7583618164063,188.27723693847656,2.72560453414917
LEFT,18118509207215334066,1229,391.33343505859375,186.30137634277344,2.7317471504211426
LEFT,18118509207215334066,1231,391.1145324707031,185.5628204345703,2.734592914581299
LEFT,18118509207215334066,1238,389.9562377929688,182.73532104492188,2.742149353027344
LEFT,18118509207215334066,887,140.59420776367188,443.6702880859375,2.8569793701171875
LEFT,18118509207215334066,888,141.78659057617188,442.50927734375,2.840261220932007
LEFT,18118509207215334066,1140,377.349853515625,216.1690673828125,2.635655641555786
LEFT,18118509207215334066,1143,377.977783203125,215.54879760742188,2.638492584228516
LEFT,18118509207215334066,1144,378.244873046875,215.28392028808597,2.639265298843384
LEFT,18118509207215334066,1148,379.3975830078125,214.1391143798828,2.646538019180298
LEFT,18118509207215334066,1659,579.7080688476562,-140.7463836669922,3.215275287628174
LEFT,18118509207215334066,1663,583.637451171875,-145.4022979736328,3.196495056152344
LEFT,18118509207215334066,1667,587.83837890625,-150.45213317871094,3.179868459701538
